,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
298,Kyrylo Melichenko,ua UKR,DF,Dresden,23-210,1999,10,6,589,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e06a25ea
299,Luca-Falk Menke,de GER,DF,Elversberg,22-199,2000,7,3,286,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f75e3a6e
300,Daniel Mesenhöler,de GER,GK,Hallescher,27-163,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e4c13d2
301,Falko Michel,de GER,MFFW,Dortmund II,21-354,2001,15,8,747,8.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,303c9f83
302,Jonas Michelbrink,de GER,MF,MSV Duisburg,21-194,2001,6,6,337,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,f95d2f9d
303,Sebastian Mielitz,de GER,GK,VfB Oldenburg,33-169,1989,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51d90d26
304,Daniel Mikic,de GER,DF,Verl,30-181,1992,16,16,1382,15.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,eed50dff
305,Tobias Mißner,de GER,DF,Elversberg,22-320,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5615e030
306,Sascha Mockenhaupt,de GER,DF,Wehen,31-115,1991,13,10,1008,11.2,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,1b6ef8cd
307,Baran Mogultay,de GER,DFMF,MSV Duisburg,18-230,2004,8,6,493,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e92d7e33
308,Yannik Möker,de GER,MF,Zwickau,23-160,1999,4,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5875e5f7
309,Quirin Moll,de GER,MF,1860 Munich,31-347,1991,10,1,248,2.8,0,2,0,0,0,3,0,0.00,0.73,0.73,0.00,0.73,Matches,0a12c10f
310,Nico Moos,de GER,DF,SpVgg Bayreuth,22-271,2000,6,5,453,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1e1e6926
311,Mateu Morey,es ESP,DF,Dortmund II,22-307,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5fd5e542
312,Leandro Morgalla,de GER,DF,1860 Munich,18-112,2004,14,13,1223,13.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,08273d48
313,Patrick Möschl,at AUT,FWMF,VfB Oldenburg,29-303,1993,6,3,291,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,deaa6023
314,Sebastian Mrowca,pl POL,MFDF,Wehen,28-352,1994,15,13,1147,12.7,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,b90bc281
315,Sebastian Müller,de GER,FWMF,Hallescher,21-345,2001,15,7,551,6.1,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,d3585b17
316,Sven Müller,de GER,GK,Dresden,26-321,1996,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdc1498c
317,Vincent Müller,de GER,GK,MSV Duisburg,22-133,2000,17,17,1530,17.0,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,d949310a
318,Visar Musliu,mk MKD,DF,Ingolstadt 04,28-051,1994,15,15,1257,14.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,9d1f0c99
319,Valdrin Mustafa,xk KVX,FW,Elversberg,24-298,1998,16,3,429,4.8,3,2,3,0,1,1,0,0.63,0.42,1.05,0.63,1.05,Matches,bc0381b9
320,Suheyel Najar,tn TUN,MF,Wehen,27-082,1995,7,0,54,0.6,1,0,1,0,0,0,0,1.67,0.00,1.67,1.67,1.67,Matches,aac5f431
321,Dimitrij Nazarov,az AZE,MFFW,Erzgebirge Aue,32-274,1990,14,10,956,10.6,1,0,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,9cc1d55d
322,Dominique Ndure,de GER,DFMF,VfB Oldenburg,23-070,1999,17,17,1523,16.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,aa6e10d0
323,Maurice Neubauer,de GER,DF,Elversberg,26-249,1996,17,17,1528,17.0,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,7793386d
324,Maximilian Neuberger,de GER,DF,Ingolstadt 04,22-286,2000,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9633060a
325,Richard Neudecker,de GER,MF,Saarbrücken,26-066,1996,16,16,1344,14.9,1,6,1,0,0,4,0,0.07,0.40,0.47,0.07,0.47,Matches,412056d4
326,Noel Niemann,de GER,FW,Osnabrück,23-050,1999,11,8,660,7.3,0,3,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,Matches,e0ff7614
327,Jonas Nietfeld,de GER,FWDF,Hallescher,28-353,1994,15,15,1215,13.5,4,0,4,0,0,4,1,0.30,0.00,0.30,0.30,0.30,Matches,919b1cfa
328,Gustaf Nilsson,se SWE,FW,Wehen,25-225,1997,1,1,84,0.9,1,0,1,0,0,0,0,1.07,0.00,1.07,1.07,1.07,Matches,a7d48b00
329,Justin Njinmah,de GER,FWMF,Dortmund II,22-049,2000,13,11,947,10.5,2,1,1,1,2,0,0,0.19,0.10,0.29,0.10,0.19,Matches,a45241d5
330,Steffen Nkansah,de GER,DF,Erzgebirge Aue,26-271,1996,15,15,1335,14.8,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,80a3affb
331,Alexander Nollenberger,de GER,FWMF,SpVgg Bayreuth,25-213,1997,17,16,1359,15.1,6,2,6,0,0,2,0,0.40,0.13,0.53,0.40,0.53,Matches,07df4e13
332,Hans Nunoo Sarpei,gh GHA,MFDF,Ingolstadt 04,24-134,1998,17,17,1494,16.6,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,9593331d
333,Nico Ochojski,de GER,DF,Verl,23-359,1999,16,14,1144,12.7,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,Matches,485e8201
334,Emeka Oduah,de GER,MF,Osnabrück,20-264,2002,8,0,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4fc1dc27
335,Daniels Ontuzans,lv LVA,FWMF,SC Freiburg II,22-302,2000,8,5,440,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b192ff78
336,Yannick Osée,de GER,DF,Meppen,25-204,1997,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,22934f69
337,Silas Ostrzinski,de GER,GK,Dortmund II,19-045,2003,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,32a76d05
338,Nick Otto,de GER,DF,Verl,23-221,1999,2,1,81,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ef04e180
339,Yari Otto,de GER,FWMF,Verl,23-221,1999,11,8,700,7.8,3,1,3,0,0,3,0,0.39,0.13,0.51,0.39,0.51,Matches,83f55922
340,Can Özkan,de GER,MF,Dortmund II,23-032,1999,11,9,834,9.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,8b66b2f1
341,Torge Paetow,de GER,DF,Verl,27-142,1995,12,10,979,10.9,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,770c2e14
342,Federico Palacios Martínez,de GER,FW,Viktoria Köln,27-269,1995,5,1,119,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,434cf5b7
343,Antonios Papadopoulos,de GER,DFMF,Dortmund II,23-115,1999,8,8,720,8.0,0,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,13d23b29
344,Marco Pašalić,hr CRO,MF,Dortmund II,22-111,2000,13,11,789,8.8,3,0,3,0,0,4,0,0.34,0.00,0.34,0.34,0.34,Matches,1866b0f1
345,Mirnes Pepić,me MNE,MF,Meppen,27-015,1995,15,14,1114,12.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,e7a04c67
346,Franz Pfanne,de GER,MFDF,Dortmund II,28-024,1994,17,17,1427,15.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,adecc21d
347,David Philipp,de GER,MFFW,Viktoria Köln,22-268,2000,14,9,722,8.0,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,da3652e2
348,Laurin von Piechowski,de GER,DF,Elversberg,28-315,1994,7,5,474,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c14ee6ab
349,Lukas Pinckert,de GER,DFMF,Elversberg,22-346,2000,12,5,603,6.7,1,2,1,0,0,1,0,0.15,0.30,0.45,0.15,0.45,Matches,f14e81d2
350,Marcus Piossek,pl POL,MF,Meppen,33-166,1989,11,5,391,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6839769f
351,Justin Plautz,de GER,DFMF,VfB Oldenburg,23-269,1999,16,12,1122,12.5,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,2d9473f3
352,Sandro Plechaty,de GER,DF,Rot-Weiss Essen,25-132,1997,4,2,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f10d3451
353,Ole Pohlmann,de GER,MFFW,Dortmund II,21-273,2001,15,10,916,10.2,1,2,1,0,0,0,0,0.10,0.20,0.29,0.10,0.29,Matches,822b83e8
354,Markus Ponath,de GER,GK,Ingolstadt 04,21-355,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,875e9149
355,Marvin Pourié,de GER,FW,Meppen,31-360,1991,17,17,1522,16.9,6,3,5,1,1,1,0,0.35,0.18,0.53,0.30,0.47,Matches,10125cc1
356,Rico Preißinger,de GER,MF,Ingolstadt 04,26-166,1996,11,9,712,7.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,4b3426e8
357,Eduard Probst,de GER,FWMF,Verl,21-285,2001,7,4,279,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,Matches,5f2773c5
358,Alexander Prokopenko,de GER,FW,SC Freiburg II,20-363,2002,2,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,610eaaec
359,Ivan Prtajin,hr CRO,FW,Wehen,26-234,1996,12,10,937,10.4,8,0,8,0,0,3,0,0.77,0.00,0.77,0.77,0.77,Matches,f297a3f1
360,Bjarne Pudel,de GER,DF,Dortmund II,21-239,2001,6,2,280,3.1,0,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches,d080d8b6
361,Presley Pululu,fr FRA,FW,Verl,20-162,2002,5,0,84,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d127beeb
362,Kolja Pusch,de GER,MFFW,MSV Duisburg,29-325,1993,13,5,535,5.9,2,2,2,0,0,0,0,0.34,0.34,0.67,0.34,0.67,Matches,81087b78
363,Leandro Putaro,de GER,MFFW,Osnabrück,25-361,1997,14,7,646,7.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a31a01a9
364,Steffen Puttkammer,de GER,DF,Meppen,34-095,1988,9,7,662,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,62765129
365,Kasim Rabihic,de GER,MFFW,Saarbrücken,29-313,1993,9,6,487,5.4,0,2,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,Matches,f4e50532
366,Thomas Rausch,de GER,DF,Ingolstadt 04,22-296,2000,5,0,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,837cd384
367,Sören Reddemann,de GER,DFMF,Hallescher,26-232,1996,14,13,1161,12.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e45adb7
368,Max Reinthaler,it ITA,DF,Wehen,27-287,1995,12,10,943,10.5,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,f1d2a1be
369,Pascal Richter,de GER,MF,VfB Oldenburg,26-085,1996,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3a32768
370,Nico Rieble,de GER,DF,Wehen,27-134,1995,6,2,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd8d2b04
371,Julian Riedel,de GER,DF,SV Waldhof,31-146,1991,15,15,1279,14.2,0,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches,282f4bbb
372,Tim Rieder,de GER,MFDF,1860 Munich,29-122,1993,15,15,1299,14.4,2,0,2,0,0,1,1,0.14,0.00,0.14,0.14,0.14,Matches,8f63e400
373,José-Enrique Ríos Alonso,de GER,DF,Rot-Weiss Essen,22-143,2000,12,11,984,10.9,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,4b3a4502
374,Sascha Risch,de GER,MFDF,Meppen,22-265,2000,15,10,891,9.9,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,158f392b
375,Marcel Risse,de GER,MF,Viktoria Köln,33-017,1989,9,7,558,6.2,2,0,0,2,2,1,0,0.32,0.00,0.32,0.00,0.00,Matches,140afefb
376,Calogero Rizzuto,de GER,MFDF,Saarbrücken,30-363,1992,8,8,698,7.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d5487d81
377,Jannik Rochelt,de GER,MF,Elversberg,24-129,1998,17,17,1327,14.7,8,7,8,0,0,2,0,0.54,0.47,1.02,0.54,1.02,Matches,7971c1f1
378,Merlin Röhl,de GER,MF,SC Freiburg II,20-182,2002,7,7,524,5.8,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,1f2c7b55
379,Merlin Röhl,de GER,MF,Ingolstadt 04,20-182,2002,4,4,292,3.2,2,1,2,0,0,2,0,0.62,0.31,0.92,0.62,0.92,Matches,1f2c7b55
380,Moritz Römling,de GER,DFMF,Rot-Weiss Essen,21-248,2001,7,4,375,4.2,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,b5f8aae9
381,Henry Rorig,de GER,DF,Osnabrück,22-306,2000,11,1,257,2.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,12100e54
382,Max Rosenfelder,de GER,DF,SC Freiburg II,19-327,2003,2,2,133,1.5,0,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,Matches,b6ceba6b
383,Linus Rosenlöcher,de GER,DFMF,Erzgebirge Aue,22-116,2000,10,7,673,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6dfbd243
384,Alexander Rossipal,de GER,DF,SV Waldhof,26-211,1996,13,13,1134,12.6,2,2,1,1,1,0,0,0.16,0.16,0.32,0.08,0.24,Matches,98daa26a
385,Björn Rother,de GER,MF,Rot-Weiss Essen,26-158,1996,13,12,985,10.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,bbd26451
386,Stefano Russo,de GER,MF,SV Waldhof,22-188,2000,13,9,906,10.1,1,1,1,0,0,4,0,0.10,0.10,0.20,0.10,0.20,Matches,8667b551
387,Hamza Saghiri,de GER,MF,Viktoria Köln,25-319,1997,17,12,1149,12.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6d3ac0b0
388,Semih Sahin,de GER,MF,Elversberg,23-012,1999,15,12,956,10.6,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,59015175
389,Roland Sallai,hu HUN,FW,SC Freiburg II,25-226,1997,1,1,77,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf075f6b
390,Louis Samson,de GER,MFDF,Hallescher,27-184,1995,6,3,281,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,695635f2
391,Vinko Sapina,hr CRO,MF,Verl,27-188,1995,14,14,1154,12.8,1,2,0,1,1,3,1,0.08,0.16,0.23,0.00,0.16,Matches,79df51b6
392,Niklas Sauter,de GER,GK,SC Freiburg II,19-272,2003,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9c63dd82
393,Linus Schäfer,de GER,MF,VfB Oldenburg,19-211,2003,4,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef5a11ac
394,Manuel Schäffler,de GER,FW,Dresden,33-331,1989,15,6,752,8.4,4,1,4,0,0,0,0,0.48,0.12,0.60,0.48,0.60,Matches,de8edb3a
395,Robin Scheu,de GER,MF,Saarbrücken,27-321,1995,3,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0c5a4d5
396,Marco Schikora,de GER,DFMF,Erzgebirge Aue,28-105,1994,16,13,1140,12.7,2,1,2,0,0,3,0,0.16,0.08,0.24,0.16,0.24,Matches,6c24e7aa
397,Marten Schmidt,de GER,FW,VfB Oldenburg,26-344,1996,3,1,134,1.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d4a80460
398,Marten-Heiko Schmidt,de GER,MFFW,VfB Oldenburg,26-344,1996,11,3,338,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,76413de3
399,Patrick Schmidt,de GER,FWMF,Ingolstadt 04,29-115,1993,17,10,837,9.3,4,1,4,0,0,3,0,0.43,0.11,0.54,0.43,0.54,Matches,c1fa9361
400,Marc Schnatterer,de GER,MF,SV Waldhof,37-046,1985,8,2,229,2.5,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,23efc67c
401,Luca Schnellbacher,de GER,FW,Elversberg,28-242,1994,13,13,1032,11.5,9,3,9,0,0,3,0,0.78,0.26,1.05,0.78,1.05,Matches,b72756f1
402,Sam Schreck,de GER,MF,Erzgebirge Aue,23-339,1999,13,12,1021,11.3,2,0,2,0,0,4,1,0.18,0.00,0.18,0.18,0.18,Matches,64679418
403,Tobias Schröck,de GER,MFDF,Ingolstadt 04,30-003,1992,9,9,705,7.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cc2c720b
404,Leonhard von Schrötter,de GER,DF,Zwickau,23-282,1999,13,4,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7457538d
405,Edwin Schwarz,de GER,DFMF,SpVgg Bayreuth,28-112,1994,5,5,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c83f894e
406,Tobias Schwede,de GER,MFDF,Saarbrücken,28-292,1994,13,6,617,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,467afce9
407,Marcel Seegert,de GER,DF,SV Waldhof,28-249,1994,16,15,1377,15.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,e1317dec
408,Lion Semić,de GER,MF,Dortmund II,19-112,2003,7,2,263,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87ebd8c9
409,Marvin Senger,de GER,DF,MSV Duisburg,22-362,2000,16,15,1376,15.3,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2b34d862
410,Hong Seokju,kr KOR,FW,Viktoria Köln,19-241,2003,8,1,151,1.7,1,1,1,0,0,0,0,0.60,0.60,1.19,0.60,1.19,Matches,a4cd6c56
411,Nicolás Sessa,ar ARG,MFFW,Verl,26-286,1996,11,10,591,6.6,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,51900795
412,Noah Shawn Agbaje,de GER,MF,Zwickau,21-194,2001,3,0,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d8455a1d
413,Jan Shcharbakouski,de GER,FW,Dresden,21-285,2001,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11685623
414,Carlo Sickinger,de GER,MF,Elversberg,25-158,1997,3,3,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3f6ca46e
415,Jamil Siebert,de GER,DF,Viktoria Köln,20-276,2002,14,12,1148,12.8,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,5967328c
416,Omar Sijarić,de GER,MF,Erzgebirge Aue,21-062,2001,5,1,137,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,160a7441
417,Ba-Muaka Simakala,cg CGO,FWMF,Osnabrück,25-340,1997,17,15,1235,13.7,8,3,5,3,3,3,0,0.58,0.22,0.80,0.36,0.58,Matches,1856cc10
418,Hugo Siquet,be BEL,MFDF,SC Freiburg II,20-178,2002,2,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6cf860f
419,Meris Skenderović,me MNE,FWMF,1860 Munich,24-281,1998,14,7,636,7.1,4,0,4,0,0,2,0,0.57,0.00,0.57,0.57,0.57,Matches,6257811f
420,Pascal Sohm,de GER,FW,SV Waldhof,31-062,1991,15,6,636,7.1,3,1,3,0,0,0,0,0.42,0.14,0.57,0.42,0.57,Matches,bdca6862
421,Niklas Sommer,de GER,DF,SV Waldhof,24-276,1998,9,2,301,3.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,eba32a96
422,Patrick Sontheimer,de GER,MF,Viktoria Köln,24-184,1998,16,16,1360,15.1,1,3,1,0,0,5,0,0.07,0.20,0.26,0.07,0.26,Matches,cbb1efde
423,Alexander Sorge,de GER,DF,Erzgebirge Aue,29-257,1993,12,10,909,10.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9d0e7c2
424,Meiko Sponsel,de GER,DF,Rot-Weiss Essen,20-309,2002,8,5,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bd29d3c
425,Max Sprang,de GER,GK,Zwickau,22-183,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c72a33ec
426,Julian Stark,de GER,MFDF,SC Freiburg II,21-301,2001,15,12,990,11.0,1,1,1,0,0,4,1,0.09,0.09,0.18,0.09,0.18,Matches,0ff7b3e7
427,Yannick Stark,de GER,MF,Dresden,32-067,1990,4,0,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e7f6e9aa
428,Manfred Starke,na NAM,MFFW,VfB Oldenburg,31-316,1991,16,13,1114,12.4,4,1,4,0,0,1,0,0.32,0.08,0.40,0.32,0.40,Matches,fe931c47
429,Dominik Steczyk,pl POL,FW,Hallescher,23-244,1999,12,7,671,7.5,2,1,2,0,0,1,0,0.27,0.13,0.40,0.27,0.40,Matches,ff04f48f
430,Marvin Stefaniak,de GER,MFFW,Erzgebirge Aue,27-334,1995,12,11,926,10.3,3,1,3,0,0,3,0,0.29,0.10,0.39,0.29,0.39,Matches,f53e1fe7
431,Phillipp Steinhart,de GER,DFMF,1860 Munich,30-180,1992,9,9,760,8.4,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,955de575
432,Daniel Steininger,de GER,FWMF,SpVgg Bayreuth,27-265,1995,12,5,596,6.6,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,2291e144
433,Justin Steinkötter,de GER,FW,Saarbrücken,23-099,1999,4,1,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,71e2cfcd
434,Luca Stellwagen,de GER,DF,Verl,24-024,1998,13,11,1011,11.2,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,19ee089c
435,Oliver Steurer,de GER,DF,VfB Oldenburg,27-362,1995,17,17,1512,16.8,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches,d0e99423
436,Nikola Stevanović,rs SRB,DF,Ingolstadt 04,24-112,1998,4,2,272,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b31b2792
437,Niclas Stierlin,de GER,MF,MSV Duisburg,22-346,2000,12,2,393,4.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,ed523095
438,Michel Stöcker,de GER,DF,Verl,23-264,1999,15,13,1175,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,6e8fca8c
439,Tobias Stockinger,de GER,MFFW,SpVgg Bayreuth,22-284,2000,14,6,477,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,273701c8
440,Moritz Stoppelkamp,de GER,MF,MSV Duisburg,36-023,1986,17,15,1394,15.5,4,4,3,1,2,4,0,0.26,0.26,0.52,0.19,0.45,Matches,042cac2d
441,Florian Stritzel,de GER,GK,Wehen,28-337,1994,9,9,769,8.5,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,ae7717b9
442,Israel Suero,es ESP,FW,Elversberg,28-266,1994,9,1,203,2.3,2,2,2,0,0,0,0,0.89,0.89,1.77,0.89,1.77,Matches,d03abe50
443,Valmir Sulejmani,xk KVX,MF,Ingolstadt 04,26-336,1996,4,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,63923468
444,Adam Sušac,hr CRO,DF,Zwickau,33-228,1989,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,177df4f0
445,Mario Suver,hr CRO,DF,Dortmund II,23-102,1999,7,4,328,3.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,7d36987e
446,Emanuel Taffertshofer,de GER,MF,Wehen,27-313,1995,15,12,1091,12.1,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,221d7f29
447,Ulrich Taffertshofer,de GER,MFDF,Erzgebirge Aue,30-323,1992,14,14,1171,13.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,4a8337ca
448,Erik Tallig,de GER,MFDF,1860 Munich,22-358,2000,16,7,806,9.0,0,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,Matches,bb7b929d
449,Niklas Tarnat,de GER,MF,Rot-Weiss Essen,24-222,1998,16,16,1398,15.5,0,3,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,468c8df5
450,Borys Tashchy,ua UKR,FWMF,Erzgebirge Aue,29-161,1993,12,6,577,6.4,1,2,1,0,0,1,0,0.16,0.31,0.47,0.16,0.47,Matches,2f3de947
451,Ted Tattermusch,de GER,FW,Dortmund II,21-240,2001,10,2,218,2.4,1,0,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,c1dbb669
452,Berkan Taz,de GER,MF,SV Waldhof,24-015,1998,16,11,944,10.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af8ac87e
