,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
58,Calvin Brackelmann,de GER,DF,Ingolstadt 04,23-134,1999,17,17,1503,16.7,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,3972dbb3
59,Rafael Brand,de GER,MFFW,VfB Oldenburg,28-116,1994,14,11,855,9.5,2,1,2,0,0,3,0,0.21,0.11,0.32,0.21,0.32,Matches,a418b199
60,Sandrino Braun,de GER,DF,SC Freiburg II,34-183,1988,9,4,382,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3d0cc9b
61,Maximilian Breunig,de GER,FW,SC Freiburg II,22-142,2000,4,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e37c986
62,Johannes Brinkies,de GER,GK,Zwickau,29-197,1993,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2dcbd40
63,Moritz Broschinski,de GER,FWMF,Dortmund II,22-102,2000,14,7,705,7.8,3,1,3,0,0,0,0,0.38,0.13,0.51,0.38,0.51,Matches,bbd79358
64,Lucas Brumme,de GER,FW,Wehen,23-100,1999,11,2,297,3.3,1,0,1,0,0,3,1,0.30,0.00,0.30,0.30,0.30,Matches,823149ef
65,Daniel Buballa,de GER,DF,Viktoria Köln,32-237,1990,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c79bf0bf
66,Christopher Buchtmann,de GER,DFMF,VfB Oldenburg,30-253,1992,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9cd10dea
67,Guille Bueno,es ESP,MFDF,Dortmund II,20-107,2002,12,10,897,10.0,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,6a133919
68,Korbinian Burger,de GER,DF,Erzgebirge Aue,27-251,1995,11,10,927,10.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,a420a6f3
69,Leon Bürger,de GER,MF,Verl,23-053,1999,4,2,222,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b868ec9b
70,Nishan Burkart,ch SUI,FWMF,SC Freiburg II,22-337,2000,4,3,219,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c59b67ed
71,Justin Butler,de GER,FW,Ingolstadt 04,21-286,2001,13,0,231,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4bc6aa51
72,Nils Butzen,de GER,DF,Zwickau,29-276,1993,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5ad28375
73,Florian Carstens,de GER,DF,Wehen,24-056,1998,7,7,464,5.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ac551128
